movie_title;gross;duration;budget;num_critic_for_reviews;director_facebook_likes;cast_total_facebook_likes
RoboCop ;58607007;117;100000000;492;294;14161
Speed Racer ;43929341;135;120000000;284;0;902
How Do You Know ;30212620;121;120000000;168;274;993
Knight and Day ;76418654;117;117000000;283;446;12731
The Wolverine ;132550960;138;120000000;440;446;23755
The Croods ;187165546;98;135000000;257;16;43286
Windtalkers ;40911830;153;115000000;152;610;15046
The Huntsman: Winter's War ;47952020;120;115000000;231;19;46719
Teenage Mutant Ninja Turtles ;190871240;101;125000000;348;473;2690
Dante's Peak ;67155742;108;116000000;93;79;1569
Teenage Mutant Ninja Turtles: Out of the Shadows ;81638674;112;135000000;181;13;8306
Fantastic Four ;56114221;100;120000000;369;128;1261
Night at the Museum ;250863268;108;110000000;179;189;55486
San Andreas ;155181732;114;110000000;358;62;16718
The Patriot ;113330342;142;110000000;192;776;19454
Ocean's Twelve ;125531634;125;110000000;198;0;19359
Mr. & Mrs. Smith ;186336103;126;120000000;233;218;22722
Insurgent ;129995817;119;110000000;263;124;22622
Gulliver's Travels ;42776259;85;112000000;184;11;1173
The Green Hornet ;98780042;119;120000000;447;1000;13391
300: Rise of an Empire ;106369117;102;110000000;366;263;10583
The Smurfs ;142614158;103;110000000;172;67;692
Home on the Range ;50026353;76;110000000;104;6;13607
Allegiant ;66002193;120;110000000;181;124;12452
Real Steel ;85463309;127;110000000;327;189;22254
The Smurfs 2 ;71017784;105;105000000;125;67;914
Speed 2: Cruise Control ;48068396;121;160000000;79;101;2027
Ender's Game ;61656849;114;110000000;326;151;12908
Live Free or Die Hard ;134520804;129;110000000;354;235;13961
Around the World in 80 Days ;24004159;120;110000000;188;153;3175
Ali ;58183966;165;107000000;174;0;14196
The Cat in the Hat ;100446895;82;109000000;109;34;2762
I, Robot ;144795350;115;120000000;225;295;12068
The Princess and the Frog ;104374107;97;105000000;228;63;2480
The Island ;35799026;136;126000000;257;0;34839
Gone in Sixty Seconds ;101643008;127;90000000;175;57;29069
Gladiator ;187670866;171;103000000;265;0;6521
Terminator 2: Judgment Day ;204843350;153;102000000;210;0;2829
Public Enemies ;97030725;140;100000000;357;0;64599
American Gangster ;130127620;176;100000000;300;0;20354
True Lies ;146282411;141;115000000;94;0;4528
Little Fockers ;148383780;98;100000000;180;80;24082
The Other Guys ;119219978;116;100000000;265;285;20233
Eraser ;101228120;115;100000000;81;55;3454
The Hunchback of Notre Dame ;100117603;91;100000000;80;21;4842
The Emperor's New Groove ;89296573;78;100000000;141;10;2039
The Expendables 2 ;85017401;103;92000000;383;165;57881
National Treasure ;173005002;131;100000000;193;226;13679
Eragon ;75030163;104;100000000;170;14;4487
Epic ;107515297;102;100000000;203;77;14552
The Tourist ;67631157;103;100000000;321;207;55175
End of Days ;66862068;121;83000000;174;0;3903
Batman Forever ;184031112;121;100000000;144;541;2880
Starship Troopers ;54700065;129;105000000;192;719;2031
Legend of the Guardians: The Owls of Ga'Hoole ;55673333;101;80000000;188;0;4286
Catwoman ;40198710;87;100000000;212;26;3144
Hercules ;72660029;101;100000000;245;420;16235
Treasure Planet ;38120554;95;140000000;127;63;26940
Land of the Lost ;49392095;102;100000000;167;52;10552
The Expendables 3 ;39292022;131;90000000;320;385;52610
Point Break ;28772222;114;105000000;163;19;3962
Son of the Mask ;17010646;94;84000000;78;6;1195
In the Heart of the Sea ;24985612;122;100000000;289;2000;28328
The Adventures of Pluto Nash ;4411102;95;100000000;66;31;6161
The Peanuts Movie ;130174897;88;99000000;208;20;309
The Spanish Prisoner ;10200000;110;10000000;97;342;1722
The Mummy Returns ;202007640;130;98000000;202;208;15972
Surf's Up ;58867694;85;100000000;154;9;25590
The Stepford Wives ;59475623;93;90000000;169;0;13748
Black Hawk Down ;108638745;152;92000000;200;0;4270
The Campaign ;86897182;85;95000000;255;116;9271
Sex and the City 2 ;95328937;146;100000000;221;127;4555
The Road to El Dorado ;50802661;89;95000000;82;10;3372
Ice Age: Continental Drift ;161317423;88;95000000;233;20;25354
Cinderella ;201148159;105;95000000;343;0;4671
The Lovely Bones ;43982842;135;65000000;308;0;2370
Seventh Son ;17176900;102;95000000;175;44;17098
Lara Croft: Tomb Raider ;131144183;100;115000000;199;165;12150
Jurassic Park III ;181166115;92;93000000;198;394;2574
Rise of the Planet of the Apes ;176740650;105;93000000;529;81;13118
The Spiderwick Chronicles ;71148699;107;90000000;198;70;1614
A Good Day to Die Hard ;67344392;101;92000000;412;212;15481
The Alamo ;22406362;137;107000000;106;102;5780
The Incredibles ;261437578;115;92000000;283;663;1901
Cutthroat Island ;11000000;124;98000000;61;212;3611
Men in Black ;250147615;98;90000000;175;188;12998
Toy Story 2 ;245823397;82;90000000;191;487;21275
Rush Hour 2 ;226138454;90;90000000;127;420;664
What Lies Beneath ;155370362;130;100000000;185;0;12890
Cloudy with a Chance of Meatballs ;124870275;90;100000000;191;97;1227
Ice Age: Dawn of the Dinosaurs ;196573705;94;90000000;188;107;1258
The Secret Life of Walter Mitty ;58229120;114;90000000;362;0;5095
Charlie's Angels ;125305545;94;92000000;181;368;15419
Mulan ;120618403;88;90000000;143;7;4478
Tropic Thunder ;110416702;121;92000000;308;0;23484
Die Hard with a Vengeance ;100012500;128;90000000;148;323;14274
Sherlock Holmes ;209019489;128;90000000;415;0;23996
Atlantis: The Lost Empire ;84037039;95;120000000;146;21;15237
Alvin and the Chipmunks: The Road Chip ;85884815;92;90000000;70;12;38450
Valkyrie ;83077470;121;75000000;269;0;14165
You Don't Mess with the Zohan ;100018837;113;90000000;198;221;13446
Pixels ;78747585;106;88000000;253;0;35367
The Haunted Mansion ;75817994;88;90000000;122;50;2622
Contact ;100853835;150;90000000;159;0;12289
Hollow Man ;73209340;119;95000000;180;719;2356
Percy Jackson: Sea of Monsters ;68558662;106;90000000;183;87;10882
Lara Croft Tomb Raider: The Cradle of Life ;65653758;117;95000000;157;101;33154
Now You See Me 2 ;64685359;129;90000000;196;209;23031
The Saint ;61355436;116;68000000;64;176;475
Mission to Mars ;60874615;114;90000000;181;0;4902
Rio ;143618384;96;90000000;240;107;12071
Bicentennial Man ;58220776;132;100000000;93;0;55254
Volcano ;47474112;104;90000000;84;81;5062
The Devil's Own ;42877165;111;86000000;66;79;26088
Conan the Barbarian ;37567440;129;20000000;166;468;2024
Cinderella Man ;61644321;144;88000000;201;2000;2523
Seabiscuit ;120147445;140;87000000;175;378;13808
Twister ;241688385;113;92000000;114;101;26239
Cast Away ;233630478;143;90000000;221;0;15838
Happy Feet ;197992827;108;100000000;206;750;70996
The Bourne Supremacy ;176049130;108;75000000;239;521;14161
Air Force One ;172620724;124;85000000;142;249;23603
Ocean's Eleven ;183405771;116;85000000;186;0;13028
Hotel Transylvania ;148313048;91;85000000;256;266;37142
Enchanted ;127706877;107;85000000;222;36;662
Safe House ;126149655;115;85000000;298;79;36237
102 Dalmatians ;66941559;100;85000000;84;36;4182
Tower Heist ;78009155;104;75000000;236;420;3768
The Holiday ;63224849;138;85000000;157;278;17423
It's Complicated ;112703470;120;85000000;187;278;15226
Ocean's Thirteen ;117144465;122;85000000;238;0;43499
Open Season ;84303558;83;85000000;107;28;6081
Divergent ;150832203;139;85000000;459;168;22226
Enemy at the Gates ;51396781;131;68000000;187;218;5103
The Rundown ;47592825;104;85000000;151;532;16930
Last Action Hero ;50016394;130;70000000;80;323;2407
Memoirs of a Geisha ;57010853;145;85000000;229;252;2380
The Fast and the Furious: Tokyo Drift ;62494975;104;85000000;158;681;1235
Collateral Damage ;40048332;108;85000000;135;99;1460
Mirror Mirror ;64933670;106;85000000;382;763;11454
Scott Pilgrim vs. the World ;31494270;112;60000000;393;1000;12687
The Core ;31111260;135;60000000;149;36;1439
Nutty Professor II: The Klumps ;123307945;109;65000000;94;88;2818
Scooby-Doo ;153288182;86;84000000;138;67;6355
Click ;137340146;107;70000000;173;153;12700
Cats & Dogs: The Revenge of Kitty Galore ;43575716;82;85000000;91;62;3326
Jumper ;80170146;88;85000000;238;218;21863
Hellboy II: The Golden Army ;75754670;120;85000000;345;0;3632
The 6th Day ;34543701;123;82000000;170;55;5839
Bruce Almighty ;242589580;101;81000000;191;293;21276
Mission: Impossible ;180965237;110;80000000;154;0;12760
The Hangover Part II ;254455986;102;80000000;383;480;16143
Over the Hedge ;155019340;83;80000000;166;12;22813
Lilo & Stitch ;145771527;85;80000000;180;255;3112
Deep Impact ;140459099;120;75000000;125;75;22750
RED 2 ;53215979;116;84000000;234;23;25220
The Longest Yard ;158115031;113;82000000;134;88;13693
Alvin and the Chipmunks: Chipwrecked ;133103929;87;75000000;91;31;4073
Grown Ups 2 ;133668525;101;80000000;139;221;39269
Get Smart ;130313314;110;80000000;265;88;44798
Something's Gotta Give ;124590960;128;80000000;145;278;22679
Robots ;128200012;91;75000000;163;77;1804
Face/Off ;112225777;138;80000000;155;610;17087
Bedtime Stories ;109993847;99;80000000;144;163;12831
Road to Perdition ;104054514;117;80000000;226;0;16828
Just Go with It ;103028109;117;80000000;204;221;16325
Con Air ;101087161;123;75000000;139;165;15362
Eagle Eye ;101111837;118;80000000;215;154;5637
Cold Mountain ;95632614;154;79000000;198;333;61110
The Book of Eli ;94822707;118;80000000;325;117;44797
Flubber ;92969824;90;80000000;53;10;50005
The Haunting ;91188905;113;80000000;167;101;17786
Space Jam ;90443603;88;80000000;46;30;15001
The Pink Panther ;82226474;93;65000000;147;189;1267
The Day the Earth Stood Still ;79363785;104;80000000;276;301;22194
Conspiracy Theory ;76081498;135;75000000;80;503;8355
Fury ;85707116;134;68000000;406;452;20411
Six Days Seven Nights ;74329966;98;70000000;97;425;12729
Yogi Bear ;100169068;80;80000000;143;40;4394
Spirit: Stallion of the Cimarron ;73215310;83;80000000;106;21;14261
Zookeeper ;80360866;102;80000000;178;153;5392
Lost in Space ;69102910;130;80000000;102;81;12186
The Manchurian Candidate ;65948711;129;80000000;209;438;20056
Hotel Transylvania 2 ;169692572;89;80000000;152;266;26839
Fantasia 2000 ;60507228;74;80000000;129;11;814
The Time Machine ;56684819;96;80000000;124;25;1919
Mighty Joe Young ;50628009;114;90000000;35;31;10731
Swordfish ;69772969;99;80000000;166;57;25942
The Legend of Zorro ;45356386;129;75000000;137;258;2864
What Dreams May Come ;55350897;113;85000000;121;25;49631
Little Nicky ;39442871;90;80000000;87;65;25190
The Brothers Grimm ;37899638;118;88000000;233;0;27114
Surrogates ;38542418;89;80000000;258;84;18132
Thirteen Days ;34566746;145;80000000;162;79;1825
Daylight ;32885565;114;80000000;61;357;25126
Walking with Dinosaurs 3D ;36073232;87;80000000;113;43;1971
Battlefield Earth ;21471685;119;44000000;174;64;971
Nine ;19673424;118;80000000;205;252;619
Timeline ;19480739;116;80000000;123;503;43887
The Last Witch Hunter ;27356090;106;90000000;202;42;16922
Red Planet ;17473245;106;70000000;145;14;2
A Beautiful Mind ;170708996;135;58000000;205;2000;2827
Journey 2: The Mysterious Island ;103812241;94;79000000;178;62;27842
Cloudy with a Chance of Meatballs 2 ;119793567;95;78000000;169;18;848
Hidalgo ;67286731;136;100000000;140;394;36925
Jack and Jill ;74158157;91;79000000;156;221;27405
2 Fast 2 Furious ;127083765;107;76000000;150;309;25296
The Invasion ;15071514;99;80000000;232;101;2323
The Adventures of Rocky & Bullwinkle ;26000610;92;76000000;49;5;28050
The League of Extraordinary Gentlemen ;66462600;110;78000000;202;45;4714
Madagascar ;193136719;86;75000000;181;35;1777
Children of Men ;35286428;109;76000000;372;0;16479
X-Men ;157299717;104;75000000;290;0;21397
Wanted ;134568845;110;75000000;316;335;25763
The Rock ;134006721;136;75000000;122;0;15999
Ice Age: The Meltdown ;195329763;115;80000000;164;107;1815
50 First Dates ;120776832;99;75000000;147;88;12952
Hairspray ;118823091;117;75000000;219;163;1673
Exorcist: The Beginning ;41814863;125;50000000;167;212;1970
Inspector Gadget ;97360069;110;75000000;70;16;5320
Now You See Me ;117698894;125;75000000;384;255;13312
Grown Ups ;162001186;102;80000000;179;221;28497
Hotel for Dogs ;73023275;100;35000000;107;87;5174
Vertical Limit ;68473360;124;75000000;134;258;3424
Charlie Wilson's War ;66636385;102;75000000;269;0;60646
Shark Tale ;160762022;90;75000000;143;10;63165
Dreamgirls ;103338338;130;70000000;241;386;2856
Be Cool ;55808744;118;53000000;161;473;15889
Tears of the Sun ;43426961;142;70000000;89;845;16580
Killers ;47000485;100;75000000;140;126;25206
The Man from U.N.C.L.E. ;45434443;116;75000000;362;0;15735
Spanglish ;42044321;131;80000000;124;274;12522
Monster House ;73661010;91;75000000;190;27;17299
Bandits ;41523271;123;80000000;132;272;13934
First Knight ;37600435;134;55000000;53;109;1695
Anna and the King ;39251128;148;75000000;91;72;804
Immortals ;83503161;110;75000000;284;763;16691
Titan A.E. ;22751979;94;75000000;131;383;15857
Hollywood Homicide ;30013346;116;75000000;132;41;14028
Monkeybone ;5409517;93;75000000;74;253;5580
Flight of the Phoenix ;21009180;113;45000000;114;212;4397
Unbreakable ;94999143;106;75000000;294;0;33645
Sucker Punch ;36381716;128;82000000;435;0;7067
Snake Eyes ;55585389;98;69000000;117;0;15269
Sphere ;36976367;134;75000000;108;272;1044
The Angry Birds Movie ;107225164;97;73000000;141;6;24350
Fool's Gold ;70224196;112;70000000;176;72;13827
Funny People ;51814190;153;75000000;230;0;11852
The Kingdom ;47456450;110;70000000;234;532;5187
Talladega Nights: The Ballad of Ricky Bobby ;148213377;122;73000000;164;285;12410
Dr. Dolittle 2 ;112950721;87;72000000;91;41;3287
The Simpsons Movie ;183132370;87;75000000;299;30;3086
The Majestic ;27796042;152;72000000;128;0;4310
Driven ;32616869;116;72000000;109;212;14780
The Village ;114195633;108;60000000;261;0;7273
Doctor Dolittle ;144156464;85;71500000;73;84;4166
Signs ;227965690;106;72000000;208;0;1675
Cars ;244052771;117;120000000;256;487;4905
Runaway Bride ;152149590;116;70000000;103;0;12790
xXx ;141204016;132;70000000;191;357;14790
The SpongeBob Movie: Sponge Out of Water ;162495848;92;74000000;147;5;5217
Ransom ;136448821;139;80000000;79;2000;3667
Die Hard 2 ;117541000;124;70000000;142;212;16595
S.W.A.T. ;116643346;117;80000000;144;69;14486
Vanilla Sky ;100614858;141;68000000;153;488;11458
Lady in the Water ;42272747;110;70000000;284;0;5609
AVP: Alien vs. Predator ;80281096;109;60000000;247;545;3222
Alvin and the Chipmunks: The Squeakquel ;219613391;88;75000000;107;84;5227
We Were Soldiers ;78120196;124;75000000;141;130;6181
Olympus Has Fallen ;98895417;119;70000000;358;845;31782
Star Trek: Insurrection ;70117571;103;58000000;160;906;6207
Battle Los Angeles ;83552429;116;70000000;355;473;4001
Wolf ;65012000;125;70000000;59;0;1439
The Monuments Men ;78031620;118;70000000;371;0;27674
The Abyss ;54222000;171;69500000;82;0;4074
Wall Street: Money Never Sleeps ;52474616;136;70000000;297;0;1579
Dracula Untold ;55942830;92;70000000;261;28;5178
The Siege ;40932372;116;70000000;120;380;32563
Seven Years in Tibet ;37901509;136;70000000;76;218;12226
The Dilemma ;48430355;111;70000000;185;2000;18510
Bad Company ;30157016;116;70000000;128;541;12993
I Spy ;33105600;97;70000000;105;84;1576
Underworld: Awakening ;62321039;88;70000000;242;24;5861
Rock of Ages ;38509342;136;75000000;360;163;712
Hart's War ;19076815;125;60000000;112;40;15916
Rollerball ;18990542;98;70000000;151;323;2763
Ballistic: Ecks vs. Sever ;14294842;91;70000000;92;8;1846
Hard Rain ;19819494;97;70000000;79;13;13628
Osmosis Jones ;13596911;95;70000000;81;101;3734
Legends of Oz: Dorothy's Return ;8460990;88;70000000;51;6;6946
Blackhat ;7097125;133;70000000;261;0;28129
Sky Captain and the World of Tomorrow ;37760080;106;70000000;197;14;12871
Escape Plan ;25121291;115;50000000;286;101;15708
The Legend of Hercules ;18821279;99;70000000;156;212;1520
The Sum of All Fears ;118471320;124;68000000;176;31;12556
The Score ;71069884;124;68000000;141;0;32871
Despicable Me ;251501645;87;69000000;304;275;11608
Money Train ;35324232;105;68000000;40;29;1132
Ted 2 ;81257500;125;68000000;280;3000;30010
Mystery Men ;29655590;121;65000000;125;18;3986
Hall Pass ;45045037;111;36000000;237;101;3393
The Insider ;28965197;157;68000000;209;0;18216
Body of Lies ;39380442;128;70000000;238;0;29824
Abraham Lincoln: Vampire Hunter ;37516013;105;69000000;393;335;8281
Entrapment ;87704396;113;66000000;138;36;1302
The X Files ;83892374;121;66000000;142;38;4230
Need for Speed ;43568507;132;66000000;327;76;7081
What Women Want ;182805123;127;70000000;149;278;5838
Ice Age ;176387405;103;59000000;193;77;5437
Dreamcatcher ;33685268;136;68000000;175;759;12194
The Matrix ;171383253;136;63000000;313;0;18563
Apollo 13 ;172071312;140;62000000;159;2000;17171
The Santa Clause 2 ;139225854;104;60000000;80;54;5265
Les Misérables ;148775460;158;61000000;488;0;46204
You've Got Mail ;115731542;119;65000000;153;0;17768
Step Brothers ;100468793;106;65000000;173;285;11264
The Mask of Zorro ;93771072;136;65000000;156;258;12396
Due Date ;100448498;95;65000000;307;480;23018
Cliffhanger ;84049211;124;70000000;74;212;15229
Broken Arrow ;70450000;108;50000000;72;610;2913
The Kid ;69688384;104;60000000;86;226;16452
World Trade Center ;70236496;129;63000000;242;0;14421
Mona Lisa Smile ;63695760;117;65000000;141;179;12850
The Dictator ;59617068;99;65000000;313;119;1375
Annie ;85911262;118;65000000;176;87;4796
Focus ;53846915;105;50100000;279;43;11943
This Means War ;54758461;103;65000000;241;368;29808
Blade: Trinity ;52397389;122;65000000;185;687;19764
Death Race ;36064910;111;45000000;230;545;28643
The Long Kiss Goodnight ;33328051;121;65000000;94;212;1531
Proof of Life ;32598931;135;65000000;134;138;1013
Zathura: A Space Adventure ;28045540;101;65000000;136;4000;32232
We Are Marshall ;43532294;131;65000000;96;368;12088
Hudson Hawk ;17218080;100;70000000;60;36;15944
Sin City: A Dame to Kill For ;13750556;102;65000000;339;436;49433
Random Hearts ;31054924;133;64000000;96;521;16710
Austin Powers in Goldmember ;213079163;94;63000000;194;116;2725
Clear and Present Danger ;122012710;141;62000000;42;176;14178
Littleman ;58255287;98;64000000;78;322;6334
The American President ;65000000;114;62000000;75;0;2668
The Love Guru ;32178777;87;62000000;150;12;6658
3000 Miles to Graceland ;15738632;125;42000000;113;11;14536
Blades of Glory ;118153533;93;61000000;191;8;13232
Hop ;108012170;95;63000000;156;25;2558
300 ;210592590;117;65000000;460;0;32360
Marley & Me ;143151473;115;60000000;180;64;4811
Chicken Little ;135381507;81;150000000;161;10;2252
The Bourne Identity ;121468960;119;60000000;249;218;13249
The General's Daughter ;102678089;116;95000000;113;165;2321
The Truman Show ;125603360;103;60000000;213;608;3698
The Prince of Egypt ;101217900;99;70000000;120;59;1195
Daddy Day Care ;104148781;92;60000000;81;41;4050
2 Guns ;75573300;109;61000000;265;175;20148
Cats & Dogs ;93375151;87;60000000;105;6;4171
The Italian Job ;106126012;111;60000000;155;473;35084
Two Weeks Notice ;93307796;101;60000000;118;30;2636
Antz ;90646554;83;105000000;131;35;25788
Couples Retreat ;109176215;113;60000000;166;0;8172
Cheaper by the Dozen 2 ;82569532;94;60000000;77;163;20348
The Scorch Trials ;81687587;132;61000000;249;47;2517
Eat Pray Love ;80574010;140;60000000;213;708;20440
The Family Man ;75764085;125;60000000;121;420;16646
RED ;90356857;111;58000000;315;124;24928
Any Given Sunday ;75530832;156;55000000;171;0;20761
The Horse Whisperer ;75370763;170;60000000;96;0;20683
Collateral ;100003492;120;65000000;299;0;13581
The Scorpion King ;90341670;100;60000000;167;55;14611
Ladder 49 ;74540762;115;55000000;125;13;4496
Jack Reacher ;80033643;130;60000000;387;188;16385
Deep Blue Sea ;73648142;105;60000000;199;212;3697
This Is It ;71844424;111;60000000;136;197;679
Contagion ;75638743;106;60000000;436;0;13634
Kangaroo Jack ;66734992;89;60000000;73;18;1233
Coraline ;75280058;100;60000000;310;253;647
The Happening ;64505912;91;48000000;323;0;13654
The Shaggy Dog ;61112916;98;50000000;76;48;24664
Starsky & Hutch ;88200225;101;60000000;173;480;3943
Jingle All the Way ;60573641;94;60000000;81;32;4530
Hellboy ;59035104;132;66000000;242;0;1112
A Civil Action ;56702901;115;60000000;110;234;4713
ParaNorman ;55994557;92;60000000;328;28;13597
The Jackal ;54910560;124;60000000;83;105;38227
Paycheck ;53789313;119;60000000;196;610;3637
Up Close & Personal ;51045801;124;60000000;34;50;3653
The Tuxedo ;50189179;98;60000000;81;11;2018
Under Siege 2: Dark Territory ;50024083;92;60000000;47;14;2318
Jack Ryan: Shadow Recruit ;50549107;105;60000000;313;0;1411
Alien: Resurrection ;47748610;116;75000000;223;0;3090
Shooter ;46975183;124;61000000;198;845;1640
The Boxtrolls ;50807639;96;60000000;219;7;3151
Practical Magic ;46611204;104;48000000;92;165;4294
Miss Congeniality 2: Armed and Fabulous ;48472213;115;45000000;111;11;4305
Reign of Fire ;43060566;101;60000000;138;38;53024
Gangster Squad ;45996718;113;60000000;415;181;34738
Duplicity ;40559930;125;60000000;211;209;10623
My Favorite Martian ;36830057;94;65000000;49;80;2151
The Sentinel ;36279230;107;60000000;161;69;1352
Star Trek: Nemesis ;43119879;116;60000000;172;53;31224
Intolerable Cruelty ;35096190;100;60000000;161;0;1395
Righteous Kill ;40076438;101;60000000;198;50;38809
Mercury Rising ;32940507;111;60000000;79;17;16536
The Legend of Bagger Vance ;30695227;126;60000000;125;0;34774
Almost Famous ;32522352;152;60000000;149;488;36897
xXx: State of the Union ;26082914;101;87000000;77;93;993
Priest ;29136626;87;60000000;225;124;1417
Sinbad: Legend of the Seven Seas ;26288320;85;60000000;98;0;11301
Dragonfly ;30063805;104;60000000;117;293;2109
The Last Castle ;18208078;131;60000000;110;37;3012
Supernova ;14218868;91;65000000;100;394;1262
Winter's Tale ;22451;118;60000000;189;167;22447
The Mortal Instruments: City of Bones ;31165421;130;60000000;212;91;10247
Meet Dave ;11802056;90;60000000;127;48;1865
Dark Water ;25472967;103;30000000;196;179;1467
Edtv ;22362500;122;55000000;115;2000;15275
The Spirit ;19781879;103;60000000;223;436;20881
Beyond Borders ;4426297;127;35000000;54;258;12947
The Great Raid ;10166502;132;80000000;81;131;12133
Holy Man ;12065985;114;60000000;56;65;2367
Goosebumps ;80021740;103;58000000;218;11;5497
Just Like Heaven ;48291624;95;58000000;142;70;2876
The Flintstones in Viva Rock Vegas ;35231365;90;60000000;57;32;6299
Rambo III ;53715611;87;63000000;84;10;14574
Leatherheads ;31199215;114;58000000;186;0;589
Did You Hear About the Morgans? ;29580087;103;58000000;133;30;3150
The Internship ;44665963;125;58000000;246;189;5081
Red Tails ;49875589;125;58000000;144;143;4416
The Devil's Advocate ;60984028;136;57000000;117;138;45271
That's My Boy ;36931089;116;70000000;157;51;16484
DragonHeart ;51317350;103;57000000;60;357;2710
